structure	total_dataset	chosen
match (n0)-[r1]->(c1) WHERE[none]	4583	212
match (c1)-[r0]->(n0) WHERE[none]	3432	127
match (n0)-[r0]->(c1) WHERE[none]	2913	91
match (c1)-[r1]->(n0) WHERE[none]	1029	34
match (n1)-[r1]->(c1) WHERE[none]	717	21
match (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	419	15
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	357	9
match (n0)-[r1]->(c1) WHERE[cond=1,ops=0]	346	14
match (n0)-[r1]->(n0) WHERE[none]	303	13
match (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=2,ops=2]	302	11
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (c1)-[r1]->(n0) WHERE[none]	294	6
match (n1)-[r1]->(n0) WHERE[none]	245	8
match (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	225	7
match (n0)-[r0]->(n0) WHERE[none]	204	9
match (n1)-[r0]->(c1) WHERE[cond=2,ops=0]	187	6
match (n1)-[r1]->(c1) WHERE[cond=1,ops=0]	187	10
match (n0)-[r1]->(n0) WHERE[cond=1,ops=0]	160	5
match (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	124	3
match (n1)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	101	2
match (c1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	93	2
match (n0)-[r1]->(n1) WHERE[none]	85	3
match (c1)-[r0]->(c1) WHERE[none]	77	4
match (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	70	5
match (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=0]	70	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	56	2
match (n1)-[r1]->(c1) WHERE[cond=2,ops=0]	54	1
match (n1)-[r1]->(n0) WHERE[cond=1,ops=0]	54	1
match (n1)-[r0]->(c1) WHERE[none]	50	1
match (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	48	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	43	3
match (n1)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	40	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	38	1
match (n1)-[r1]->(n1) WHERE[none]	37	1
match (c1)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	37	1
match (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[none]	33	1
match (n1)-[r0]->(n0) WHERE[none]	32	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=3,ops=1]	32	1
match (n0)-[r1]->(n0) WHERE[cond=1,ops=1]	29	1
match (n1)-[r1]->(n0) WHERE[cond=2,ops=0]	29	1
match (n0)-[r0]->(c1), (n0)-[r0]->(c1) WHERE[none]	29	2
match (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=1,ops=0]	27	1
match (n1)-[r1]->(c1) WHERE[cond=1,ops=1]	26	2
match (n0)-[r1]->(c1) WHERE[cond=3,ops=0]	25	2
match (n1)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	24	2
match (n1)-[r1]->(n0) WHERE[cond=1,ops=1]	23	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=0]	21	1
match (c1)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	21	1
match (n0)-[r0]->(n0), (n0)-[r0]->(n0) WHERE[none]	20	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=1]	20	2
match (n0)-[r1]->(c1), (n0)-[r0]->(c1) WHERE[none]	19	2
match (n0)-[r1]->(c1), (n1)-[r1]->(n0) WHERE[none]	19	1
match (n0)-[r1]->(c1) WHERE[cond=1,ops=1]	18	1
